sample_id,segment_id,is_ai_hit,business_line,ai_actor,decision_status,annotator,review_reason_or_comment,source_text_for_review,file_path
S001,S051,是,云诊室,待判断,pending_human_review,codex_prelabel,模型预标注：显式关键词: ai；云诊室关键词命中: 处方；主体关键词不足；待你审批,回访赵老师，目前已经逐渐熟悉使用，有患者也会在平台处方，送商城礼品提升客情，沟通平台AI使用和商城分享。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/将军汤七战区（吉林区域）2026年工作周报.docx
S002,S002,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年3月1周 将军汤 部门工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车白芷：浙贝长期持续努力的态度状元红：恭喜石龙芮，白菀周年快乐。欢迎新人核桃仁加入。葡萄：感谢石龙芮元宵节组织唱歌活动发菜：恭喜石龙芮入职2年，白菀入职1年。石龙芮一天审核8个医生很优秀！石龙芮：点赞荧石辛苦出差欢迎核桃仁入职点赞浙贝精神白菀：欢迎核桃仁入职🎉点赞石龙芮周六一天审核医生超多👍👍👍恭喜石龙芮入职两周年🎉茴香：浙贝持之以恒，持...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/三战区-江苏工作周报2026.03.08.docx
S003,S003,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年3月1周将军汤六战区（甘、宁）工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车鹿角草：感谢乌药关于自媒体方面公众号内容的帮助和解答陈知白：感谢银耳帮忙解答疑惑常思：感谢安心汤协助处理医生订单问题木耆：感谢斑鸠处理中药批采感谢客服同事处理订单问题诚信坦荡，我想听你说方向建议人@部门推进存在问题建设性意见与措施降本增效协同攻坚高质量发展工作复盘与规划本周目标完成情况及工作回顾截止3月7日，区域云诊室业绩101...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年3月第1周 将军汤 六战区（甘、宁）工作周报.docx
S004,S004,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年3月1周 将军汤一战区（上海）工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车沉香：感谢麦角帮忙处理打款问题橘红：感谢茶膏处理膏方问题金钗：感谢一夜萩解决合同问题白及：感谢全蝎、瞿麦周到安排诚信坦荡，我想听你说方向建议人@部门推进存在问题建设性意见与措施降本增效协同攻坚高质量发展工作复盘与规划-本周工作回顾截止3月7日，3月云诊室上海目标完成率20%，一战区目标完成率21.5%；3月云管家上海完成率24%...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年3月第1周 将军汤一战区（上海） 工作周报.docx
S005,S132,是,云诊室,待判断,pending_human_review,codex_prelabel,模型预标注：显式关键词: ai；云诊室关键词命中: 医生；主体关键词不足；待你审批,本周两会盛大开幕，其中明确AI赋能基层医疗、数据互通、规范诊疗成为行业方向，互联网医疗正从“流量连接”转向专业价值与合规服务。这提醒我们，业务不能只停留在线上化，更要聚焦医生效率、患者体验、合规安全三大核心。后续工作中，我会更注重服务闭环与专业沉淀，在合规前提下提升服务质量与客户信任,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/将军汤线上战区工作周报2026.3.7.docx
S006,S041,是,云诊室,待判断,pending_human_review,codex_prelabel,"模型预标注：显式关键词: ai；云诊室关键词命中: 医生,问诊,开方；主体关键词不足；待你审批",李老师：线下拜访老师，持续了解老师最新的情况，老师反馈了今年医院的绩效会改，预计工资会下降，和老师传递线上的收益补充，主要沟通了甘草AI问诊助手的价值，举例了其他医生的反馈和评价，引起了老师的兴趣，有时间回去看看研究一下，本周开方有增长。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年将军汤四战区周报.docx
S007,S114,是,云诊室,待判断,pending_human_review,codex_prelabel,"模型预标注：显式关键词: ai,ai诊疗；云诊室关键词命中: 医生；主体关键词不足；待你审批",李医生回访，老师这边换诊室了，但是患者还不多。说主要还是以医保为主，平台会给亲戚朋友开一下，有的同事也会找她开点药。觉得我们还是挺方便的，让老师多积累。同步了一下ai诊疗助手；,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年将军汤 五战区工作周报.docx
S008,S008,否,待判断,待判断,pending_human_review,codex_prelabel,当前跑数无AI命中片段，建议人工抽查确认,[无AI命中片段] 文档预览：2026年3月1周 将军汤 一战区（广西）工作周报降本增效、协同攻坚、高质量发展星光闪烁，助我前行关键词事迹推车紫草：感谢黄杨木处理云管家客户打款问题；益智：广东小伙伴们最近挖掘诊所客户都有收获，很多诊所都有剂型补充的需求，向他们学习。梧桐：感谢天仙藤陪访文竹：感谢益智帮忙解答云管家问题莲衣：感谢安心汤同学们对订单问题的及时提醒，感谢鲫鱼对活动的提醒帮助红芪：感谢觉水香帮跟进对接订单诚信坦荡，我想听你说方向建议人@部门推进存在问题建设性...,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年 3月第 1周 将军汤 一战区（广西）工作周报（0308）.docx
S009,S116,是,混合,销售对外介绍,confirmed,codex_prelabel,"模型预标注：显式关键词: ai；业务线双命中: 云管家,云诊室；销售对外介绍关键词命中: 介绍；待你审批",3）江西客户：客户这边是一家健康管理公司，通过AI搜索，AI推荐的甘草云管家，主要对系统功能感兴趣，目前没有中医项目，和客户介绍了我们系统和云药房业务，客户后续有想法开展中医这一块，问了我们这边合作云药房需要哪些材料，让客户先找医生，办备案证，后续就可以合作开展中医业务。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/2026将军汤部门工作周报 - 3月2周-白兰花.docx
S010,S149,是,待判断,待判断,pending_human_review,codex_prelabel,模型预标注：显式关键词: ai；业务线关键词不足；主体关键词不足；待你审批,1.大红袍分享的利用AI降本增效，这是一个非常不错的方式，也是科技发展的潮流。我也经常使用AI，觉得能够提供不一样的思路和方法，可以辅助解决挺多问题。有一个更深度的认识。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/将军汤线上战区工作周报2026.3.15.docx
